sample_index,elapsed_seconds,timestamp,raw_adc
246,36.688000,2026-09-08T10:51:29.566+08:00,2088
247,36.703000,2026-09-08T10:51:29.581+08:00,2090
248,36.735000,2026-09-08T10:51:29.613+08:00,2087
249,36.766000,2026-09-08T10:51:29.644+08:00,2087
250,36.782000,2026-09-08T10:51:29.660+08:00,2086
251,36.813000,2026-09-08T10:51:29.691+08:00,2088
252,36.844000,2026-09-08T10:51:29.722+08:00,2087
253,36.860000,2026-09-08T10:51:29.738+08:00,2086
254,36.891000,2026-09-08T10:51:29.769+08:00,2082
255,36.922000,2026-09-08T10:51:29.800+08:00,2078
256,36.938000,2026-09-08T10:51:29.816+08:00,2080
257,36.969000,2026-09-08T10:51:29.847+08:00,2075
258,37.000000,2026-09-08T10:51:29.878+08:00,2074
259,37.047000,2026-09-08T10:51:29.925+08:00,2078
260,37.078000,2026-09-08T10:51:29.956+08:00,2076
261,37.094000,2026-09-08T10:51:29.972+08:00,2077
262,37.125000,2026-09-08T10:51:30.003+08:00,2078
263,37.157000,2026-09-08T10:51:30.035+08:00,2082
264,37.172000,2026-09-08T10:51:30.050+08:00,2078
265,37.203000,2026-09-08T10:51:30.081+08:00,2078
266,37.250000,2026-09-08T10:51:30.128+08:00,2078
267,37.282000,2026-09-08T10:51:30.160+08:00,2077
268,37.313000,2026-09-08T10:51:30.191+08:00,2076
269,37.328000,2026-09-08T10:51:30.206+08:00,2076
270,37.360000,2026-09-08T10:51:30.238+08:00,2073
271,37.375000,2026-09-08T10:51:30.253+08:00,2073
272,37.407000,2026-09-08T10:51:30.285+08:00,2071
273,37.438000,2026-09-08T10:51:30.316+08:00,2066
274,37.453000,2026-09-08T10:51:30.331+08:00,2062
275,37.485000,2026-09-08T10:51:30.363+08:00,2061
276,37.516000,2026-09-08T10:51:30.394+08:00,2058
277,37.532000,2026-09-08T10:51:30.410+08:00,2056
278,37.563000,2026-09-08T10:51:30.441+08:00,2056
279,37.594000,2026-09-08T10:51:30.472+08:00,2054
280,37.610000,2026-09-08T10:51:30.488+08:00,2057
281,37.641000,2026-09-08T10:51:30.519+08:00,2058
282,37.672000,2026-09-08T10:51:30.550+08:00,2054
283,37.719000,2026-09-08T10:51:30.597+08:00,2054
284,37.750000,2026-09-08T10:51:30.628+08:00,2052
285,37.766000,2026-09-08T10:51:30.644+08:00,2053
286,37.797000,2026-09-08T10:51:30.675+08:00,2051
287,37.828000,2026-09-08T10:51:30.706+08:00,2054
288,37.844000,2026-09-08T10:51:30.722+08:00,2050
289,37.875000,2026-09-08T10:51:30.753+08:00,2048
290,37.907000,2026-09-08T10:51:30.785+08:00,2040
291,37.922000,2026-09-08T10:51:30.800+08:00,2044
292,37.953000,2026-09-08T10:51:30.831+08:00,2045
293,37.985000,2026-09-08T10:51:30.863+08:00,2041
294,38.000000,2026-09-08T10:51:30.878+08:00,2041
295,38.032000,2026-09-08T10:51:30.910+08:00,2039
296,38.063000,2026-09-08T10:51:30.941+08:00,2039
297,38.078000,2026-09-08T10:51:30.956+08:00,2041
298,38.110000,2026-09-08T10:51:30.988+08:00,2046
299,38.141000,2026-09-08T10:51:31.019+08:00,2042
300,38.157000,2026-09-08T10:51:31.035+08:00,2044
301,38.219000,2026-09-08T10:51:31.097+08:00,2043
302,38.235000,2026-09-08T10:51:31.113+08:00,2046
303,38.266000,2026-09-08T10:51:31.144+08:00,2045
304,38.297000,2026-09-08T10:51:31.175+08:00,2046
305,38.313000,2026-09-08T10:51:31.191+08:00,2050
306,38.344000,2026-09-08T10:51:31.222+08:00,2042
307,38.375000,2026-09-08T10:51:31.253+08:00,2048
308,38.391000,2026-09-08T10:51:31.269+08:00,2039
309,38.422000,2026-09-08T10:51:31.300+08:00,2045
310,38.453000,2026-09-08T10:51:31.331+08:00,2043
311,38.469000,2026-09-08T10:51:31.347+08:00,2043
312,38.500000,2026-09-08T10:51:31.378+08:00,2040
313,38.532000,2026-09-08T10:51:31.410+08:00,2040
314,38.547000,2026-09-08T10:51:31.425+08:00,2039
315,38.578000,2026-09-08T10:51:31.456+08:00,2042
316,38.610000,2026-09-08T10:51:31.488+08:00,2042
317,38.625000,2026-09-08T10:51:31.503+08:00,2041
318,38.657000,2026-09-08T10:51:31.535+08:00,2040
319,38.688000,2026-09-08T10:51:31.566+08:00,2044
320,38.703000,2026-09-08T10:51:31.581+08:00,2046
321,38.735000,2026-09-08T10:51:31.613+08:00,2048
322,38.766000,2026-09-08T10:51:31.644+08:00,2041
323,38.782000,2026-09-08T10:51:31.660+08:00,2048
324,38.813000,2026-09-08T10:51:31.691+08:00,2043
325,38.844000,2026-09-08T10:51:31.722+08:00,2051
326,38.860000,2026-09-08T10:51:31.738+08:00,2043
327,38.891000,2026-09-08T10:51:31.769+08:00,2043
328,38.922000,2026-09-08T10:51:31.800+08:00,2043
329,38.938000,2026-09-08T10:51:31.816+08:00,2042
330,38.969000,2026-09-08T10:51:31.847+08:00,2040
331,39.000000,2026-09-08T10:51:31.878+08:00,2038
332,39.047000,2026-09-08T10:51:31.925+08:00,2033
333,39.078000,2026-09-08T10:51:31.956+08:00,2034
334,39.094000,2026-09-08T10:51:31.972+08:00,2034
335,39.125000,2026-09-08T10:51:32.003+08:00,2035
336,39.157000,2026-09-08T10:51:32.035+08:00,2037
337,39.172000,2026-09-08T10:51:32.050+08:00,2040
338,39.203000,2026-09-08T10:51:32.081+08:00,2041
339,39.250000,2026-09-08T10:51:32.128+08:00,2049
340,39.282000,2026-09-08T10:51:32.160+08:00,2046
341,39.313000,2026-09-08T10:51:32.191+08:00,2053
342,39.328000,2026-09-08T10:51:32.206+08:00,2053
343,39.360000,2026-09-08T10:51:32.238+08:00,2056
344,39.391000,2026-09-08T10:51:32.269+08:00,2060
345,39.407000,2026-09-08T10:51:32.285+08:00,2065
346,39.438000,2026-09-08T10:51:32.316+08:00,2070
347,39.469000,2026-09-08T10:51:32.347+08:00,2074
348,39.485000,2026-09-08T10:51:32.363+08:00,2078
349,39.516000,2026-09-08T10:51:32.394+08:00,2086
350,39.547000,2026-09-08T10:51:32.425+08:00,2094
351,39.563000,2026-09-08T10:51:32.441+08:00,2104
352,39.594000,2026-09-08T10:51:32.472+08:00,2113
353,39.625000,2026-09-08T10:51:32.503+08:00,2125
354,39.641000,2026-09-08T10:51:32.519+08:00,2139
355,39.672000,2026-09-08T10:51:32.550+08:00,215
356,39.703000,2026-09-08T10:51:32.581+08:00,2164
357,39.719000,2026-09-08T10:51:32.597+08:00,2183
358,39.750000,2026-09-08T10:51:32.628+08:00,2193
359,39.782000,2026-09-08T10:51:32.660+08:00,2209
360,39.797000,2026-09-08T10:51:32.675+08:00,2218
361,39.828000,2026-09-08T10:51:32.706+08:00,2237
362,39.860000,2026-09-08T10:51:32.738+08:00,2252
363,39.907000,2026-09-08T10:51:32.785+08:00,2294
364,39.938000,2026-09-08T10:51:32.816+08:00,2310
365,39.953000,2026-09-08T10:51:32.831+08:00,2320
366,39.985000,2026-09-08T10:51:32.863+08:00,2333
367,40.016000,2026-09-08T10:51:32.894+08:00,2340
368,40.032000,2026-09-08T10:51:32.910+08:00,2349
369,40.063000,2026-09-08T10:51:32.941+08:00,2357
370,40.094000,2026-09-08T10:51:32.972+08:00,2363
371,40.110000,2026-09-08T10:51:32.988+08:00,2370
372,40.141000,2026-09-08T10:51:33.019+08:00,2373
373,40.172000,2026-09-08T10:51:33.050+08:00,2374
374,40.188000,2026-09-08T10:51:33.066+08:00,2373
375,40.219000,2026-09-08T10:51:33.097+08:00,2368
376,40.250000,2026-09-08T10:51:33.128+08:00,2361
377,40.266000,2026-09-08T10:51:33.144+08:00,2353
378,40.297000,2026-09-08T10:51:33.175+08:00,2340
379,40.344000,2026-09-08T10:51:33.222+08:00,2290
380,40.375000,2026-09-08T10:51:33.253+08:00,2269
381,40.391000,2026-09-08T10:51:33.269+08:00,2246
382,40.422000,2026-09-08T10:51:33.300+08:00,2223
383,40.453000,2026-09-08T10:51:33.331+08:00,2199
384,40.485000,2026-09-08T10:51:33.363+08:00,2169
385,40.500000,2026-09-08T10:51:33.378+08:00,214
386,40.532000,2026-09-08T10:51:33.410+08:00,2118
387,40.563000,2026-09-08T10:51:33.441+08:00,2097
